epoch_id,campaign_id,sequence_id,output_time,gps_seconds,fixed_lat_deg,fixed_lon_deg,fixed_height_m,ratio,n_sat_solution,pos_sigma_h,pos_sigma_v,reference_lat_deg,reference_lon_deg,fixed_error_h,risk_score,requires_review,quality_category,actual_exceeds_tolerance
97,DATA13,DATA13,2021-11-18 04:40:27.000000,1321245627.0,30.534804702,114.421190806,12.6249,9.6,25,0.0051623637996561,0.0109,30.534804738,114.4211906812,0.0126239038385585,0.0010888801158715406,False,В пределах допуска — принято,False
98,DATA13,DATA13,2021-11-18 04:40:28.000000,1321245628.0,30.534804698,114.421190815,12.6281,9.6,25,0.0051623637996561,0.0109,30.5348047399,114.4211906941,0.0124974831737985,0.0010888801158715406,False,В пределах допуска — принято,False
99,DATA13,DATA13,2021-11-18 04:40:29.000000,1321245629.0,30.534804683,114.42119081,12.6279,10.9,25,0.0051623637996561,0.0109,30.5348047398,114.4211906941,0.0127811506518252,0.0010412447569827727,False,В пределах допуска — принято,False
100,DATA13,DATA13,2021-11-18 04:40:30.000000,1321245630.0,30.534804704,114.421190798,12.6308,10.8,25,0.0051623637996561,0.0109,30.534804748,114.4211906854,0.0118556367359936,0.0010448339200510263,False,В пределах допуска — принято,False
101,DATA13,DATA13,2021-11-18 04:40:31.000000,1321245631.0,30.534804693,114.421190758,12.6343,12.0,25,0.0051623637996561,0.0109,30.5348047509,114.4211906696,0.0106380709987019,0.001002567644874673,False,В пределах допуска — принято,False
102,DATA13,DATA13,2021-11-18 04:40:32.000000,1321245632.0,30.534804713,114.421190761,12.6405,13.7,25,0.0051623637996561,0.0109,30.5348047513,114.42119067,0.009710328088597,0.000945597938500577,False,В пределах допуска — принято,False
103,DATA13,DATA13,2021-11-18 04:40:33.000000,1321245633.0,30.534804706,114.421190758,12.6385,9.9,25,0.0051623637996561,0.0109,30.5348047516,114.4211906704,0.0098094702708867,0.0010776976618180256,False,В пределах допуска — принято,False
104,DATA13,DATA13,2021-11-18 04:40:34.000000,1321245634.0,30.534804697,114.421190749,12.6345,13.3,25,0.0051623637996561,0.0109,30.5348047517,114.4211906708,0.0096483492271983,0.0009587045832640982,False,В пределах допуска — принято,False
105,DATA13,DATA13,2021-11-18 04:40:35.000000,1321245635.0,30.534804702,114.421190747,12.6375,12.4,25,0.0051623637996561,0.0109,30.5348047518,114.421190671,0.009147305229547,0.0009888619328521267,False,В пределах допуска — принято,False
106,DATA13,DATA13,2021-11-18 04:40:36.000000,1321245636.0,30.53480471,114.421190773,12.6361,14.2,25,0.0051623637996561,0.0109,30.5348047518,114.421190671,0.0108299273240291,0.0009294660875116768,False,В пределах допуска — принято,False
